id,material_code,description,material_group,material_type,plant,storage_location,unit_of_measure,criticality,lifecycle_status,service_code,manufacturer,manufacturer_part_no,last_po_price,last_vendor,stock_level,reorder_point,lead_time_days,repair_cost_factor,active,created_at,updated_at
1,500-10001,"Density Meter, nuclear, 200mm (8"") pipe",Instrumentation,Density Meter,Gamsberg,GSB-MAIN-WH,EA,CRITICAL,Active,,Bushveld Valve Foundry,MP-000001,115502.4,Drakensberg Valve & Fittings (Pty) Ltd,35,31,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
2,500-10002,"Flow Meter, magnetic, 100mm (4"")",Instrumentation,Flow Meter,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Highveld Pump Manufacturing,MP-000002,46795.85,Escarpment Mining Equipment Traders (Pty) Ltd,35,27,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
3,500-10003,"Variable Speed Drive, 11kW",Electrical Spares,Variable Speed Drive,Gamsberg,GSB-MAIN-WH,EA,CRITICAL,Active,,Highveld Precision Engineering,MP-000003,219746.34,Karoo Pump Solutions (Pty) Ltd,8,5,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
4,500-10004,"Gland Packing Set, shaft 100mm, PTFE impregnated",Mechanical Seals,Gland Packing Set,BMM,BMM-PLANT-STORE,SET,MEDIUM,Active,,Karoo Seal Technologies,MP-000004,4421.39,Postmasburg Spares & Components (Pty) Ltd,14,9,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
5,500-10005,"Flow Meter, magnetic, 150mm (6"")",Instrumentation,Flow Meter,Gamsberg,GSB-MINING-STORE,EA,HIGH,Active,,Bushveld Electromechanical Works,MP-000005,89713.32,Aggeneys Mining Equipment Traders (Pty) Ltd,40,43,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
6,500-10006,"MCC Contactor, 95A, 3-pole",Electrical Spares,MCC Contactor,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Escarpment Wear Parts Casting,MP-000006,14995.89,Karoo Pump Solutions (Pty) Ltd,17,17,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
7,500-10007,"Ball Valve, 200mm (8""), full bore, stainless trim",Valves,Ball Valve,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,EOL,,Highveld Bearing Works,MP-000007,9795.5,Upington Industrial Supplies (Pty) Ltd,30,32,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
8,500-10008,"Ball Valve, 40mm (1.5""), full bore, stainless trim",Valves,Ball Valve,BMM,BMM-WORKSHOP-STORE,EA,MEDIUM,Active,,Escarpment Seal Technologies,MP-000008,15130.7,Upington Industrial Supplies (Pty) Ltd,7,3,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
9,500-10009,"Cone Crusher Concave Ring, standard profile",Crusher Components,Cone Crusher Concave Ring,Gamsberg,GSB-MINING-STORE,EA,CRITICAL,Active,,Highveld Wear Parts Casting,MP-000009,307874.21,Vaal Mining Equipment Traders (Pty) Ltd,24,27,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
10,500-10010,"Froth Paddle Assembly, large cell",Flotation Components,Froth Paddle Assembly,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Bushveld Pump Manufacturing,MP-000010,13598.4,Bushveld Industrial Supplies (Pty) Ltd,39,31,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
