Matnr,Spras,Maktx
000000000010000000,EN,Gearbox Bearing 55KW SKF
000000000010000001,EN,Thickener Rake Seal Kit 8/6 METSO
000000000030000000,EN,Vertical Sump Pump Column DN150 MULTOTEC
000000000080000000,EN,Screen Exciter Bearing TYPE A ABB
000000000030000001,EN,Flotation Blower Motor 250KW SIEMENS
000000000080000001,EN,Gland Packing Seal Ring DN100 FLSM
000000000030000002,EN,Crusher Hydroset Cylinder 10/8 SKF
000000000010000002,EN,Slurry Density Transmitter TYPE B FLSM
000000000010000003,EN,Conveyor Take-Up Pulley 250MM KSB
000000000010000004,EN,Apron Feeder Gear Reducer TYPE A SKF
000000000010000005,EN,Ball Mill Trunnion Bearing HD KSB
000000000010000006,EN,Variable Speed Drive Unit 250KW METSO
000000000010000007,EN,PLC Digital Output Card 250KW KSB
000000000080000002,EN,Gearbox Bearing 200MM SKF
000000000010000008,EN,Mill Liner 10/8 ABB
000000000010000009,EN,Soft Starter Power Module 110KW ABB
000000000010000010,EN,Apron Feeder Gear Reducer 6/4 KSB
000000000010000011,EN,Conveyor Drive Motor 250MM SEW
000000000010000012,EN,Valve Assembly TYPE A ABB
000000000010000013,EN,Level Radar Transmitter 6/4 MULTOTEC
000000000010000014,EN,Valve Assembly HD FLSM
000000000080000003,EN,Spherical Roller Bearing 10/8 ABB
000000000010000015,EN,Gearbox Bearing 6/4 SKF
000000000080000004,EN,Variable Speed Drive Unit 200MM ABB
000000000010000016,EN,Mill Lube Pump Motor 200MM WEIR
000000000080000005,EN,Pump Impeller TYPE B ABB
000000000010000017,EN,Pressure Transmitter Assembly 150MM
000000000010000018,EN,MCC Feeder Circuit Breaker 150MM SEW
000000000090000000,EN,Pressure Transmitter Assembly 110KW
000000000010000019,EN,Thickener Rake Seal Kit 150MM KSB
000000000080000006,EN,Valve Assembly TYPE B FLSM
000000000010000020,EN,Centrifugal Pump Casing 250KW SANDVIK
000000000010000021,EN,Flotation Cell Impeller 55KW FLSM
000000000090000001,EN,Ball Mill Shell Liner Plate 8/6 SEW
000000000010000022,EN,Ventilation Fan Motor 250MM SANDVIK
000000000010000023,EN,Ball Mill Gearbox Assembly DN150 SIEMENS
000000000010000024,EN,Variable Speed Drive Unit TYPE B KSB
000000000080000007,EN,Mill Lube Pump Motor 110KW SKF
000000000080000008,EN,Ball Mill Trunnion Bearing 8/6 SIEMENS
000000000010000025,EN,Valve Assembly TYPE B SIEMENS
000000000010000026,EN,Hydraulic Pump Assembly TYPE A SKF
000000000010000027,EN,Vertical Sump Pump Column HD KSB
000000000080000009,EN,Flow Meter Sensor Head 250MM MULTOTEC
000000000010000028,EN,Crusher Hydroset Cylinder 10/8 SEW
000000000010000029,EN,Variable Speed Drive Unit 250MM SIEMENS
000000000010000030,EN,Slurry Density Transmitter 55KW WEIR
000000000010000031,EN,Variable Speed Drive Unit 250MM ABB
000000000010000032,EN,Agitator Shaft Seal 200MM SANDVIK
000000000010000033,EN,Slurry Pump Mechanical Seal 55KW FLSM
000000000010000034,EN,Slurry Pump Wet End Assembly 8/6 KSB
000000000080000010,EN,Conveyor Take-Up Pulley 250MM KSB
000000000080000011,EN,Level Radar Transmitter 250KW MULTOTEC
000000000010000035,EN,Cyclone Apex Liner 250KW SEW
000000000010000036,EN,Flotation Cell Impeller 250MM ABB
000000000010000037,EN,Gland Packing Seal Ring DN100 FLSM
000000000080000012,EN,MCC Feeder Circuit Breaker 6/4 SEW
000000000030000003,EN,Agitator Shaft Seal 150MM SIEMENS
000000000010000038,EN,Ball Mill Shell Liner Plate 8/6
000000000010000039,EN,Pump Impeller DN100 ABB
000000000010000040,EN,Ball Mill Trunnion Bearing DN150 KSB
000000000010000041,EN,Valve Assembly 250MM WEIR
000000000080000013,EN,Flotation Blower Motor TYPE B ABB
000000000010000042,EN,Ball Mill Shell Liner Plate 250KW ABB
000000000030000004,EN,Pressure Transmitter Assembly DN100
000000000010000043,EN,Hydraulic Power Pack 55KW FLSM
000000000030000005,EN,Mill Liner 150MM SIEMENS
000000000030000006,EN,Thickener Rake Drive Gearbox 10/8 FLSM
000000000010000044,EN,Level Radar Transmitter 150MM ABB
000000000080000014,EN,Gearbox Bearing HD SANDVIK
000000000080000015,EN,Level Radar Transmitter TYPE B SANDVIK
000000000030000007,EN,Valve Assembly TYPE A METSO
000000000010000045,EN,Centrifugal Pump Casing 110KW MULTOTEC
000000000010000046,EN,Thickener Rake Seal Kit 8/6 MULTOTEC
000000000030000008,EN,Crusher Hydroset Cylinder HD METSO
000000000010000047,EN,Ball Mill Gearbox Assembly TYPE A METSO
000000000030000009,EN,PLC Digital Output Card 250KW KSB
000000000010000048,EN,PLC Digital Output Card 110KW SEW
000000000010000049,EN,Mill Lube Pump Motor DN150 KSB
000000000090000002,EN,Flotation Blower Motor 6/4 SANDVIK
000000000080000016,EN,Slurry Pump Mechanical Seal 250MM ABB
000000000010000050,EN,Cyclone Apex Liner 6/4 KSB
000000000080000017,EN,Slurry Pump Wet End Assembly 55KW
000000000010000051,EN,PLC Digital Output Card DN150 MULTOTEC
000000000080000018,EN,Gearbox Bearing DN150 SANDVIK
000000000010000052,EN,Skirt Rubber Liner Section 8/6 WEIR
