id,supplier_code,supplier_name,country,category,rating,active
1,SUP-1001,Karoo Industrial Distributors (Pty) Ltd,Germany,Valves & Piping,4.1,true
2,SUP-1002,Kuruman Industrial Supplies (Pty) Ltd,South Africa,Conveyor Equipment,4.5,true
3,SUP-1003,Vaal Valve & Fittings (Pty) Ltd,South Africa,Conveyor Equipment,4.3,true
4,SUP-1004,Escarpment Valve & Fittings (Pty) Ltd,South Africa,Pumps & Fluid Handling,4.6,true
5,SUP-1005,Lowveld Mining Equipment Traders (Pty) Ltd,South Africa,Electrical & Instrumentation,4.2,true
6,SUP-1006,Copperton Engineering Supplies (Pty) Ltd,Namibia,General Mining Consumables,3.7,true
7,SUP-1007,Northern Cape Industrial Distributors (Pty) Ltd,Namibia,Valves & Piping,3.5,true
8,SUP-1008,Springbok Valve & Fittings (Pty) Ltd,China,Pumps & Fluid Handling,3.3,true
9,SUP-1009,Orange River Industrial Supplies (Pty) Ltd,Namibia,Bearings & Power Transmission,4.5,true
10,SUP-1010,Namaqua Seals & Sealing Systems (Pty) Ltd,Namibia,General Mining Consumables,3.2,true
11,SUP-1011,Orange River Industrial Distributors (Pty) Ltd,Germany,Electrical & Instrumentation,3.9,true
12,SUP-1012,Springbok Industrial Supplies (Pty) Ltd,South Africa,Bearings & Power Transmission,3.2,true
13,SUP-1013,Highveld Mining Equipment Traders (Pty) Ltd,South Africa,Conveyor Equipment,4.2,true
14,SUP-1014,Bushveld Pump Solutions (Pty) Ltd,South Africa,General Mining Consumables,4.8,true
15,SUP-1015,Escarpment Electromechanical Ltd (Pty) Ltd,Zambia,Valves & Piping,4.5,false
16,SUP-1016,Postmasburg Valve & Fittings (Pty) Ltd,Germany,Mechanical Seals,3.8,true
17,SUP-1017,Drakensberg Spares & Components (Pty) Ltd,South Africa,General Mining Consumables,3.7,true
18,SUP-1018,Kuruman Pump Solutions (Pty) Ltd,China,Conveyor Equipment,3.6,true
19,SUP-1019,Escarpment Seals & Sealing Systems (Pty) Ltd,Zambia,General Mining Consumables,3.5,true
20,SUP-1020,Vaal Mining Equipment Traders (Pty) Ltd,South Africa,Bearings & Power Transmission,3.2,true
21,SUP-1021,Kalahari Bearing & Drive Co (Pty) Ltd,South Africa,General Mining Consumables,4.1,true
22,SUP-1022,Springbok Bearing & Drive Co (Pty) Ltd,Zambia,Pumps & Fluid Handling,4.8,true
23,SUP-1023,Escarpment Mining Equipment Traders (Pty) Ltd,Namibia,Conveyor Equipment,3.1,true
24,SUP-1024,Bushveld Electromechanical Ltd (Pty) Ltd,South Africa,General Mining Consumables,4.0,true
25,SUP-1025,Upington Valve & Fittings (Pty) Ltd,Namibia,Pumps & Fluid Handling,4.8,true
26,SUP-1026,Lowveld Valve & Fittings (Pty) Ltd,Zambia,Bearings & Power Transmission,3.6,true
27,SUP-1027,Lowveld Electromechanical Ltd (Pty) Ltd,China,Crusher & Mill Wear Parts,3.0,true
28,SUP-1028,Highveld Industrial Supplies (Pty) Ltd,Namibia,General Mining Consumables,4.9,true
29,SUP-1029,Bushveld Engineering Supplies (Pty) Ltd,Germany,Crusher & Mill Wear Parts,4.4,true
30,SUP-1030,Orange River Electromechanical Ltd (Pty) Ltd,South Africa,General Mining Consumables,4.6,true
31,SUP-1031,Waterberg Bearing & Drive Co (Pty) Ltd,China,Pumps & Fluid Handling,3.0,true
32,SUP-1032,Bushveld Spares & Components (Pty) Ltd,South Africa,Mechanical Seals,4.5,true
33,SUP-1033,Aggeneys Pump Solutions (Pty) Ltd,South Africa,Mechanical Seals,4.7,true
34,SUP-1034,Springbok Seals & Sealing Systems (Pty) Ltd,China,General Mining Consumables,4.1,true
35,SUP-1035,Kimberley Pump Solutions (Pty) Ltd,South Africa,Mechanical Seals,3.4,true
36,SUP-1036,Orange River Engineering Supplies (Pty) Ltd,South Africa,General Mining Consumables,4.0,true
37,SUP-1037,Orange River Bearing & Drive Co (Pty) Ltd,Germany,Electrical & Instrumentation,3.1,true
38,SUP-1038,Kuruman Spares & Components (Pty) Ltd,South Africa,General Mining Consumables,4.9,true
39,SUP-1039,Northern Cape Engineering Supplies (Pty) Ltd,South Africa,Bearings & Power Transmission,4.4,false
40,SUP-1040,Upington Mining Equipment Traders (Pty) Ltd,Namibia,Bearings & Power Transmission,3.6,true
