id,tracking_id,consumption_plan_id,rr_id,rr_line_id,material_id,plant,department,requester_id,fulfilment_leg,qty_requested,qty_fulfilled,qty_consumed,pr_id,po_id,stage,planned_consumption_date,actual_consumption_date,replan_count,previous_planned_date,replan_reason,release_reason,risk_score,risk_level,risk_drivers,historical,created_at,updated_at
1,UTL-2026-1001,1,651,1515,4,Gamsberg,Instrumentation & Electrical,1,PROCUREMENT,2.0,2.0,2.0,552,473,CONSUMED,2026-08-22,2026-08-22,0,,,,30,LOW,"[""Only 3 prior requisitions for this material""]",false,2026-08-07T07:00:00+00:00,2026-08-27T08:00:54.717655+00:00
2,UTL-2026-1002,2,652,1516,24,Gamsberg,Mining Operations,7,PROCUREMENT,4.0,4.0,0.0,553,474,ISSUED,2026-08-15,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-07-26T07:00:00+00:00,2026-08-27T08:00:54.962499+00:00
3,UTL-2026-1003,3,653,1517,1,Gamsberg,Processing / Plant Operations,9,PROCUREMENT,1.0,1.0,0.0,554,475,AWAITING_CONFIRMATION,2026-09-16,,1,2026-08-24,Shutdown postponed,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-07-31T07:00:00+00:00,2026-08-27T08:00:55.213616+00:00
4,UTL-2026-1004,4,654,1518,13,Gamsberg,Procurement,14,PROCUREMENT,1.0,1.0,0.0,555,476,RELEASED,2026-08-07,,0,,,Contingency no longer required -- P-204 rebuild deferred,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-07-08T07:00:00+00:00,2026-08-27T08:00:55.467338+00:00
5,UTL-2026-1005,5,655,1519,13,BMM,Mechanical Engineering,10,PROCUREMENT,1.0,0.0,0.0,,,TRANSFERRED,2026-09-11,,0,,,,30,LOW,"[""Similar material already sitting unused (1 lines in this material group)""]",false,2026-08-27T08:00:55.560489+00:00,2026-08-27T08:01:41.944780+00:00
6,UTL-2026-1006,6,656,1520,16,Gamsberg,Mining Operations,16,PROCUREMENT,1.0,0.0,0.0,,,AVAILABLE_IN_STORES,2026-09-06,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-27T08:00:55.666902+00:00,2026-08-27T08:27:11.168642+00:00
7,UTL-2026-1007,7,657,1521,3,Gamsberg,Instrumentation & Electrical,1,STORES,2.0,2.0,0.0,,,ISSUED,2026-08-25,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-05T07:00:00+00:00,2026-08-27T08:00:55.950915+00:00
8,UTL-2026-1007,7,657,1521,3,Gamsberg,Instrumentation & Electrical,1,PROCUREMENT,3.0,3.0,0.0,556,477,ISSUED,2026-08-25,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-05T07:00:00+00:00,2026-08-27T08:00:55.952474+00:00
9,UTL-2026-1008,8,658,1522,12,Gamsberg,Instrumentation & Electrical,1,PROCUREMENT,2.0,2.0,2.0,557,478,CONSUMED,2026-08-26,2026-08-25,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-09T07:00:00+00:00,2026-08-27T08:01:55.116269+00:00
10,UTL-2026-1009,9,659,1523,12,Gamsberg,Mining Operations,7,PROCUREMENT,3.0,3.0,3.0,557,478,CONSUMED,2026-09-30,2026-08-27,1,2026-08-26,Equipment not available,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-09T07:00:00+00:00,2026-08-27T08:26:33.679395+00:00
11,UTL-2026-1010,10,660,1524,12,Gamsberg,Processing / Plant Operations,9,PROCUREMENT,1.0,1.0,0.0,557,478,RELEASED,2026-08-26,,0,,,No longer required,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-09T07:00:00+00:00,2026-08-27T08:01:55.848199+00:00
12,UTL-2026-1011,11,661,1525,22,Gamsberg,Mining Operations,7,PROCUREMENT,6.0,0.0,0.0,,,PENDING_APPROVAL,2026-10-11,,0,,,,82,HIGH,"[""Only 1 prior requisition for this material in the dataset"", ""Requested quantity is 3.0x the historical average order size"", ""Mining Operations has previously released/unused OAR lines""]",false,2026-08-27T08:00:56.741877+00:00,2026-08-27T08:00:56.741877+00:00
13,UTL-2026-1012,12,662,1526,27,Gamsberg,Instrumentation & Electrical,1,PROCUREMENT,1.0,1.0,1.0,,,CONSUMED,2025-10-01,2025-10-01,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2025-09-28T07:00:00+00:00,2026-08-27T08:00:56.950569+00:00
14,UTL-2026-1013,13,663,1527,27,Gamsberg,Mining Operations,7,PROCUREMENT,1.0,1.0,1.0,,,CONSUMED,2025-11-30,2025-11-30,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2025-11-27T07:00:00+00:00,2026-08-27T08:00:57.137260+00:00
15,UTL-2026-1014,14,664,1528,27,Gamsberg,Processing / Plant Operations,9,PROCUREMENT,1.0,1.0,1.0,,,CONSUMED,2026-01-29,2026-01-29,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-01-26T07:00:00+00:00,2026-08-27T08:00:57.320189+00:00
16,UTL-2026-1015,15,665,1529,27,BMM,Mechanical Engineering,10,PROCUREMENT,1.0,1.0,1.0,,,CONSUMED,2026-03-30,2026-03-30,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-03-27T07:00:00+00:00,2026-08-27T08:00:57.508935+00:00
17,UTL-2026-1016,16,666,1530,27,Gamsberg,Procurement,14,PROCUREMENT,1.0,1.0,1.0,,,CONSUMED,2026-05-29,2026-05-29,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-05-26T07:00:00+00:00,2026-08-27T08:00:57.694213+00:00
18,UTL-2026-1017,17,667,1531,1,Gamsberg,Processing / Plant Operations,9,PROCUREMENT,1.0,1.0,0.0,558,479,ISSUED,2026-08-05,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-07-16T07:00:00+00:00,2026-08-27T08:00:57.939132+00:00
19,UTL-2026-1018,18,668,1532,4,Gamsberg,Procurement,14,PROCUREMENT,1.0,1.0,0.0,559,480,ISSUED,2026-07-03,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-06-11T07:00:00+00:00,2026-08-27T08:00:58.191698+00:00
20,UTL-2026-1019,19,1,1,126,Gamsberg,Mining Operations,20,PROCUREMENT,3.0,3.0,3.0,,,CONSUMED,2026-04-28,2026-08-27,0,,,,55,MEDIUM,"[""Historical record -- no captured consumption plan""]",true,2026-03-31T05:46:36.003322+00:00,2026-08-27T08:52:09.987451+00:00
21,UTL-2026-1020,20,669,1533,1,Gamsberg,Instrumentation & Electrical,1,PROCUREMENT,1.0,0.0,0.0,,,PENDING_APPROVAL,2026-09-17,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-27T08:07:54.742536+00:00,2026-08-27T08:07:54.742536+00:00
22,UTL-2026-1021,21,670,1534,1,Gamsberg,Instrumentation & Electrical,1,PROCUREMENT,1.0,0.0,0.0,,,PENDING_APPROVAL,2026-09-17,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-27T08:09:11.803718+00:00,2026-08-27T08:09:11.803718+00:00
23,UTL-2026-1022,22,672,1536,161,Gamsberg,Instrumentation & Electrical,1,PROCUREMENT,1.0,0.0,0.0,,,PENDING_APPROVAL,2026-09-10,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-27T08:31:02.185820+00:00,2026-08-27T08:31:02.185820+00:00
24,UTL-2026-1023,23,673,1537,86,Gamsberg,Instrumentation & Electrical,1,PROCUREMENT,9.0,0.0,0.0,,,PENDING_APPROVAL,2026-09-03,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-27T08:54:02.739041+00:00,2026-08-27T08:54:02.739041+00:00
25,UTL-2026-1024,24,674,1538,119,Gamsberg,Instrumentation & Electrical,1,PROCUREMENT,6.0,0,0,,,PENDING_APPROVAL,2026-09-25,,0,,,,20,LOW,"[""No elevated risk signals found for this material/department combination""]",false,2026-08-27T12:11:01.086977+00:00,2026-08-27T12:11:01.086977+00:00
