section,pr_po_number,unit,area,type,category,value_zar,count,aging_bucket,root_cause_category,primary_cause_detail,sub_causes,badge,stuck_with_person,stuck_with_role,urgency,month,days_lost,session_id
aging,,,,,,,49,0-7 days,,,,,,,,,,
aging,,,,,,,56,7-15 days,,,,,,,,,,
aging,,,,,,,96,15-30 days,,,,,,,,,,
aging,,,,,,,150,30-60 days,,,,,,,,,,
aging,,,,,,,85,60-90 days,,,,,,,,,,
aging,,,,,,,90,90-120 days,,,,,,,,,,
aging,,,,,,,93,More than 120 days,,,,,,,,,,
po_detail,,Gamsberg,Plant,Material,,147020000,106,,,,,,,,,,,
po_detail,,Gamsberg,Plant,Service,,378800000,73,,,,,,,,,,,
po_detail,,Gamsberg,Plant Ph2,Material,,10000,2,,,,,,,,,,,
po_detail,,Gamsberg,Plant Ph2,Service,,21180000,1,,,,,,,,,,,
po_detail,,Gamsberg,Mining,Material,,150040000,6,,,,,,,,,,,
po_detail,,Gamsberg,Mining,Service,,1501000000,38,,,,,,,,,,,
po_detail,,Gamsberg,Other,Material,,10000,1,,,,,,,,,,,
po_detail,,Gamsberg,Other,Service,,254420000,30,,,,,,,,,,,
po_detail,,BMM,Plant,Material,,20900000,57,,,,,,,,,,,
po_detail,,BMM,Plant,Service,,184820000,30,,,,,,,,,,,
po_detail,,BMM,Mining,Material,,7580000,5,,,,,,,,,,,
po_detail,,BMM,Mining,Service,,1037290000,20,,,,,,,,,,,
po_detail,,BMM,Swartberg,Material,,0,0,,,,,,,,,,,
po_detail,,BMM,Swartberg,Service,,5060000,2,,,,,,,,,,,
po_detail,,BMM,Other,Material,,330000,15,,,,,,,,,,,
po_detail,,BMM,Other,Service,,0,93,,,,,,,,,,,
root_cause,,,,,,,,,Vendor Delay - Payment,,Payment issues blocking order execution|Vendor refusal to proceed without payment|Outstanding invoices,Highest Impact,,,,,62,
root_cause,,,,,,,,,User Delay - Scope of Work,,Incomplete/unclear scope definition|Frequent scope changes|Delays in requirement finalisation|Late consolidation of plant inputs,,,,,,61,
root_cause,,,,,,,,,System Delay,,Source list/system data not maintained|Process bottlenecks in system workflows|PR-PO integration issues|Workflow approval delays,,,,,,45,
root_cause,,,,,,,,,Buyer Delay,,Resource constraints / workload|Competing priorities|Personnel changes,,,,,,35,
root_cause,,,,,,,,,Vendor Delay - Ariba Participation,,Vendor onboarding delays|Ariba registration issues|Slow vendor response times|Incomplete documentation,,,,,,31,
root_cause,,,,,,,,,User Delay - Technical Evaluation,,Technical clarification delays|Late submission of evaluations|RFP / evaluation backlog|Specialist expertise unavailable,,,,,,26,
root_cause,,,,,,,,,NFA Approval Delay,,Approval hierarchy complexity|Delays in approval turnaround|Batch approvals / backlog|Missing documentation,Highest Improvement Opportunity,,,,,15,
trend,,,,,,,,,Vendor Delay - Payment,,,,,,,Feb,8,
trend,,,,,,,,,Vendor Delay - Payment,,,,,,,Mar,9,
trend,,,,,,,,,Vendor Delay - Payment,,,,,,,Apr,10,
trend,,,,,,,,,Vendor Delay - Payment,,,,,,,May,11,
trend,,,,,,,,,Vendor Delay - Payment,,,,,,,Jun,12,
trend,,,,,,,,,Vendor Delay - Payment,,,,,,,Jul,12,
trend,,,,,,,,,User Delay - Scope of Work,,,,,,,Feb,8,
trend,,,,,,,,,User Delay - Scope of Work,,,,,,,Mar,9,
trend,,,,,,,,,User Delay - Scope of Work,,,,,,,Apr,9,
trend,,,,,,,,,User Delay - Scope of Work,,,,,,,May,11,
trend,,,,,,,,,User Delay - Scope of Work,,,,,,,Jun,12,
trend,,,,,,,,,User Delay - Scope of Work,,,,,,,Jul,12,
trend,,,,,,,,,System Delay,,,,,,,Feb,6,
trend,,,,,,,,,System Delay,,,,,,,Mar,6,
trend,,,,,,,,,System Delay,,,,,,,Apr,7,
trend,,,,,,,,,System Delay,,,,,,,May,8,
trend,,,,,,,,,System Delay,,,,,,,Jun,9,
trend,,,,,,,,,System Delay,,,,,,,Jul,9,
trend,,,,,,,,,Buyer Delay,,,,,,,Feb,5,
trend,,,,,,,,,Buyer Delay,,,,,,,Mar,5,
trend,,,,,,,,,Buyer Delay,,,,,,,Apr,6,
trend,,,,,,,,,Buyer Delay,,,,,,,May,6,
trend,,,,,,,,,Buyer Delay,,,,,,,Jun,6,
trend,,,,,,,,,Buyer Delay,,,,,,,Jul,7,
trend,,,,,,,,,Vendor Delay - Ariba Participation,,,,,,,Feb,4,
