id,pr_id,material_id,quantity,unit_price,service_code,description,line_status,quality_flags
1,1,126,3.0,4361.29,,"Gland Packing Set, shaft 80mm, PTFE impregnated",OPEN,
2,1,115,8.0,21584.13,,"Ball Mill Grinding Media, 100mm, forged steel balls",OPEN,
3,1,200,2.0,29203.26,,"Froth Paddle Assembly, small cell",OPEN,
4,2,68,16.0,2531.55,,"Troughing Idler Set, 650mm belt width, 3-roll",OPEN,
5,2,2,8.0,154077.04,,"Flow Meter, magnetic, 100mm (4"")",OPEN,
6,2,94,10.0,7061.96,,"Pillow Block Bearing Unit UCP230, 30mm shaft",OPEN,
7,2,134,16.0,54556.22,,"Pinch Valve, 50mm (2""), slurry service",OPEN,
8,2,87,20.0,48074.04,,"Flotation Cell Impeller, tank cell, rubber coated",OPEN,MISSING_SERVICE_CODE
9,2,141,15.0,8555.29,,"Tapered Roller Bearing 32020, 20mm bore",OPEN,
10,2,66,7.0,151133.92,,"Variable Speed Drive, 22kW",OPEN,
11,2,34,13.0,36963.44,,"Knife Gate Valve, 40mm (1.5""), rubber lined",OPEN,
12,3,49,7.0,102525.6,,spares as required,OPEN,VAGUE_DESCRIPTION
13,3,125,3.0,15359.17,,"Level Transmitter, ultrasonic, 0-10m range",OPEN,
14,3,73,4.0,62129.81,,"Flotation Cell Impeller, medium cell, rubber coated",OPEN,
15,3,178,17.0,4147.04,,"Butterfly Valve, 25mm (1""), wafer type",OPEN,
16,3,151,13.0,22468.09,,"Mechanical Seal, shaft 38mm, tungsten carbide faces",OPEN,
17,3,170,5.0,32250.76,,"Spherical Roller Bearing 22220, 20mm bore",OPEN,
18,3,161,10.0,13693.38,,"Pressure Transmitter, 0-100 bar range, 4-20mA",OPEN,MISSING_SERVICE_CODE
19,4,135,11.0,41811.16,,"Level Transmitter, ultrasonic, 0-20m range",OPEN,
20,4,127,11.0,47369.18,,"Crusher Toggle Plate, standard rating",OPEN,
21,4,96,11.0,25496.21,,"Circuit Breaker, MCCB, 100A",OPEN,MISSING_SERVICE_CODE
22,5,24,3.0,49429.36,,"Seal Support System, API Plan 32, shaft 80mm",OPEN,
23,5,28,6.0,157274.88,,"Variable Speed Drive, 30kW",OPEN,
24,6,191,10.0,24811.95,,"Spherical Roller Bearing 22260, 60mm bore",OPEN,
25,6,191,3.0,30555.73,,"Spherical Roller Bearing 22260, 60mm bore",OPEN,
26,6,75,19.0,20725.8,,items per attached list,OPEN,VAGUE_DESCRIPTION
27,7,191,20.0,28163.24,,"Spherical Roller Bearing 22260, 60mm bore",OPEN,
28,7,175,8.0,2294.47,,"Impact Idler, 650mm belt width, rubber disc",OPEN,
29,7,179,17.0,38620.02,,spares as required,OPEN,VAGUE_DESCRIPTION
30,8,143,18.0,23192.37,,"MCC Contactor, 150A, 3-pole",OPEN,
31,9,62,6.0,2522.49,,"Troughing Idler Set, 1400mm belt width, 3-roll",OPEN,
32,10,92,1.0,62685.78,,"Pinch Valve, 40mm (1.5""), slurry service",OPEN,MISSING_SERVICE_CODE
33,11,115,8.0,21756.95,,"Ball Mill Grinding Media, 100mm, forged steel balls",OPEN,
34,11,86,14.0,257072.51,,"Slip Ring Induction Motor, 7.5kW, 6-pole",OPEN,
35,11,91,16.0,198.79,,"Power Cable, XLPE armoured, 4-core 70mm2",OPEN,
36,12,121,13.0,42527.9,,"Circuit Breaker, MCCB, 250A",OPEN,
37,12,25,12.0,958.43,,"Conveyor Belt, steel cord, 1600mm width",OPEN,
38,12,80,4.0,8286.04,,"MCC Contactor, 32A, 3-pole",OPEN,MISSING_SERVICE_CODE
39,13,214,19.0,16744.44,SVC-CAL-03,Cal Service - contracted field technician,OPEN,
40,13,215,20.0,28548.99,SVC-INS-01,Ins Service - contracted field technician,OPEN,
41,13,214,12.0,15140.04,SVC-CAL-03,Cal Service - contracted field technician,OPEN,
42,14,157,4.0,166458.48,,"TEFC Induction Motor, 55kW, 4-pole, IE3",OPEN,
43,14,8,6.0,14395.99,,"Ball Valve, 40mm (1.5""), full bore, stainless trim",OPEN,
44,15,65,6.0,47739.99,,"TEFC Induction Motor, 15kW, 4-pole, IE3",OPEN,
45,15,138,11.0,30365.26,,"Centrifugal Slurry Pump Casing Liner, High-head",OPEN,
46,15,128,5.0,6348.96,,"Spherical Roller Bearing 22290, 90mm bore",OPEN,
47,15,55,11.0,301.11,,"Power Cable, XLPE armoured, 4-core 16mm2",OPEN,
48,15,132,1.0,41391.64,,"Diaphragm Dosing Pump Head Assembly, High-head",OPEN,
49,15,166,18.0,233976.83,,"Variable Speed Drive, 7.5kW",OPEN,
50,15,158,19.0,9682.03,,misc parts,OPEN,VAGUE_DESCRIPTION
51,15,23,6.0,18045.1,,"Motor Drive Coupling, elastomeric, rated for 90kW",OPEN,
52,16,200,18.0,26704.7,,"Froth Paddle Assembly, small cell",OPEN,
53,17,217,13.0,40842.63,,Ins Service - contracted field technician,OPEN,MISSING_SERVICE_CODE
54,17,206,8.0,7193.08,SVC-REP-01,Rep Service - contracted field technician,OPEN,
55,18,193,17.0,2470.53,,"Ball Valve, 50mm (2""), full bore, stainless trim",OPEN,
56,19,212,5.0,8499.12,SVC-CAL-01,Cal Service - contracted field technician,OPEN,
