id,rr_id,line_number,material_id,quantity,estimated_unit_price,service_code,description,quality_status
1,1,1,126,3.0,4361.29,,"Gland Packing Set, shaft 80mm, PTFE impregnated",OK
2,1,2,115,8.0,21584.13,,"Ball Mill Grinding Media, 100mm, forged steel balls",OK
3,1,3,200,2.0,29203.26,,"Froth Paddle Assembly, small cell",OK
4,2,1,68,16.0,2531.55,,"Troughing Idler Set, 650mm belt width, 3-roll",OK
5,2,2,2,8.0,154077.04,,"Flow Meter, magnetic, 100mm (4"")",OK
6,2,3,94,10.0,7061.96,,"Pillow Block Bearing Unit UCP230, 30mm shaft",OK
7,2,4,134,16.0,54556.22,,"Pinch Valve, 50mm (2""), slurry service",OK
8,2,5,87,20.0,48074.04,,"Flotation Cell Impeller, tank cell, rubber coated",MISSING_SERVICE_CODE
9,2,6,141,15.0,8555.29,,"Tapered Roller Bearing 32020, 20mm bore",OK
10,2,7,66,7.0,151133.92,,"Variable Speed Drive, 22kW",OK
11,2,8,34,13.0,36963.44,,"Knife Gate Valve, 40mm (1.5""), rubber lined",OK
12,3,1,49,7.0,102525.6,,spares as required,VAGUE_DESCRIPTION
13,3,2,125,3.0,15359.17,,"Level Transmitter, ultrasonic, 0-10m range",OK
14,3,3,73,4.0,62129.81,,"Flotation Cell Impeller, medium cell, rubber coated",OK
15,3,4,178,17.0,4147.04,,"Butterfly Valve, 25mm (1""), wafer type",OK
16,3,5,151,13.0,22468.09,,"Mechanical Seal, shaft 38mm, tungsten carbide faces",OK
17,3,6,170,5.0,32250.76,,"Spherical Roller Bearing 22220, 20mm bore",OK
18,3,7,161,10.0,13693.38,,"Pressure Transmitter, 0-100 bar range, 4-20mA",MISSING_SERVICE_CODE
19,4,1,77,9.0,67260.22,,"TEFC Induction Motor, 90kW, 4-pole, IE3",OK
20,4,2,195,10.0,30245.37,,"Froth Paddle Assembly, tank cell",OK
21,5,1,135,11.0,41811.16,,"Level Transmitter, ultrasonic, 0-20m range",OK
22,5,2,127,11.0,47369.18,,"Crusher Toggle Plate, standard rating",OK
23,5,3,96,11.0,25496.21,,"Circuit Breaker, MCCB, 100A",MISSING_SERVICE_CODE
24,6,1,24,3.0,49429.36,,"Seal Support System, API Plan 32, shaft 80mm",OK
25,6,2,28,6.0,157274.88,,"Variable Speed Drive, 30kW",OK
26,7,1,164,17.0,25056.68,,"Ball Mill Grinding Media, 60mm, forged steel balls",OK
27,8,1,191,10.0,24811.95,,"Spherical Roller Bearing 22260, 60mm bore",OK
28,8,2,191,3.0,30555.73,,"Spherical Roller Bearing 22260, 60mm bore",OK
29,8,3,75,19.0,20725.8,,items per attached list,VAGUE_DESCRIPTION
30,9,1,207,3.0,38604.16,SVC-REP-02,Rep Service - contracted field technician,OK
31,9,2,206,16.0,6650.78,SVC-REP-01,Rep Service - contracted field technician,OK
32,10,1,191,20.0,28163.24,,"Spherical Roller Bearing 22260, 60mm bore",OK
33,10,2,175,8.0,2294.47,,"Impact Idler, 650mm belt width, rubber disc",OK
34,10,3,179,17.0,38620.02,,spares as required,VAGUE_DESCRIPTION
35,11,1,143,18.0,23192.37,,"MCC Contactor, 150A, 3-pole",OK
36,12,1,62,6.0,2522.49,,"Troughing Idler Set, 1400mm belt width, 3-roll",OK
37,13,1,151,6.0,22793.6,,"Mechanical Seal, shaft 38mm, tungsten carbide faces",OK
38,13,2,186,8.0,71405.36,,"SAG Mill Liner Plate, lifter bar, chrome-moly steel",OK
39,13,3,117,16.0,22931.41,,"Spherical Roller Bearing 22275, 75mm bore",OK
40,14,1,50,9.0,9198.94,,"Butterfly Valve, 80mm (3""), wafer type",OK
41,14,2,67,10.0,38231.31,,"Variable Speed Drive, 15kW",OK
42,15,1,92,1.0,62685.78,,"Pinch Valve, 40mm (1.5""), slurry service",MISSING_SERVICE_CODE
43,16,1,115,8.0,21756.95,,"Ball Mill Grinding Media, 100mm, forged steel balls",OK
44,16,2,86,14.0,257072.51,,"Slip Ring Induction Motor, 7.5kW, 6-pole",OK
45,16,3,91,16.0,198.79,,"Power Cable, XLPE armoured, 4-core 70mm2",OK
46,17,1,121,13.0,42527.9,,"Circuit Breaker, MCCB, 250A",OK
47,17,2,25,12.0,958.43,,"Conveyor Belt, steel cord, 1600mm width",OK
48,17,3,80,4.0,8286.04,,"MCC Contactor, 32A, 3-pole",MISSING_SERVICE_CODE
49,18,1,214,19.0,16744.44,SVC-CAL-03,Cal Service - contracted field technician,OK
50,18,2,215,20.0,28548.99,SVC-INS-01,Ins Service - contracted field technician,OK
51,18,3,214,12.0,15140.04,SVC-CAL-03,Cal Service - contracted field technician,OK
52,19,1,157,4.0,166458.48,,"TEFC Induction Motor, 55kW, 4-pole, IE3",OK
53,19,2,8,6.0,14395.99,,"Ball Valve, 40mm (1.5""), full bore, stainless trim",OK
54,20,1,65,6.0,47739.99,,"TEFC Induction Motor, 15kW, 4-pole, IE3",OK
55,20,2,138,11.0,30365.26,,"Centrifugal Slurry Pump Casing Liner, High-head",OK
