recommendation_id,Matnr,Werks,material_description,criticality,demand_pattern,consumptions_12m,lead_time_days,current_rop,recommended_rop,current_safety_stock,recommended_safety_stock,current_max_stock,recommended_max_stock,recommendation_type,reason,status,created_on
REC-000001,000000000010000000,2000,Gearbox Bearing 55KW SKF,INSURANCE,REGULAR,11,58,49.407,65.900,7.381,9.800,264.458,154.200,ROP_MAX_SAFETY_STOCK,Regular consumption of 29.4 per month over 24 months with a 58-day lead time gives a reorder point of 65.9 against the current 49.407.,APPROVED,2026-06-02
REC-000002,000000000010000000,4000,Gearbox Bearing 55KW SKF,INSURANCE,REGULAR,12,58,116.441,95.600,22.068,18.100,272.698,217.600,ROP_MAX_SAFETY_STOCK,"Stock on hand 112 is below the current reorder point 116.441. At the INSURANCE service level of 90% and a 58-day lead time, the reorder point should be 95.6.",REJECTED,2026-08-31
REC-000003,000000000010000001,2000,Thickener Rake Seal Kit 8/6 METSO,INSURANCE,REGULAR,12,61,98.127,73.500,17.862,13.400,214.199,163.500,ROP_MAX_SAFETY_STOCK,"Stock on hand 98 is below the current reorder point 98.127. At the INSURANCE service level of 90% and a 61-day lead time, the reorder point should be 73.5.",APPROVED,2026-07-21
REC-000004,000000000080000000,1000,Screen Exciter Bearing TYPE A ABB,NORMAL,INTERMITTENT,6,58,13.046,9.800,5.711,4.300,20.218,18.400,ROP_MAX_SAFETY_STOCK,Intermittent consumption of 2.9 per month over 24 months with a 58-day lead time gives a reorder point of 9.8 against the current 13.046.,APPROVED,2026-05-29
REC-000005,000000000030000001,2000,Flotation Blower Motor 250KW SIEMENS,IMPACT,ON_DEMAND,1,32,0.000,4.000,0.000,2.800,0.000,7.500,OAR_TO_MIN_MAX,This OAR material is classified IMPACT on the critical parts list. Recommend Min-Max management with a reorder point of 4 and a maximum of 7.5.,APPROVED,2026-08-07
REC-000006,000000000080000001,4000,Gland Packing Seal Ring DN100 FLSM,NORMAL,INTERMITTENT,5,10,1.433,1.100,1.075,0.800,5.613,3.500,ROP_MAX_SAFETY_STOCK,Stock on hand 6 exceeds the current maximum 5.613. Consumption of 0.8 per month supports a maximum of 3.5.,APPROVED,2026-08-27
REC-000007,000000000030000002,2000,Crusher Hydroset Cylinder 10/8 SKF,IMPACT,ON_DEMAND,1,34,0.000,7.100,0.000,4.700,0.000,13.600,OAR_TO_MIN_MAX,This OAR material is classified IMPACT on the critical parts list. Recommend Min-Max management with a reorder point of 7.1 and a maximum of 13.6.,APPROVED,2026-08-05
REC-000008,000000000010000002,2000,Slurry Density Transmitter TYPE B FLSM,IMPACT,INTERMITTENT,2,13,1.969,1.300,1.552,1.000,2.493,3.200,ROP_MAX_SAFETY_STOCK,"Stock on hand 1 is below the current reorder point 1.969. At the IMPACT service level of 95% and a 13-day lead time, the reorder point should be 1.3.",PROPOSED,2026-07-31
REC-000009,000000000010000004,4000,Apron Feeder Gear Reducer TYPE A SKF,IMPACT,REGULAR,12,49,53.574,33.100,9.894,6.100,103.575,83.500,ROP_MAX_SAFETY_STOCK,Regular consumption of 16.8 per month over 24 months with a 49-day lead time gives a reorder point of 33.1 against the current 53.574.,PROPOSED,2026-05-25
REC-000010,000000000010000005,3000,Ball Mill Trunnion Bearing HD KSB,NORMAL,INTERMITTENT,4,59,8.173,5.400,4.653,3.100,12.576,9.000,ROP_MAX_SAFETY_STOCK,Stock on hand 13 exceeds the current maximum 12.576. Consumption of 1.2 per month supports a maximum of 9.,REJECTED,2026-07-15
