approval_id,recommendation_id,approver_role,approver_user,decision,decision_date,comment
APR-000001,REC-000001,Commercial Head,VZIINV01,APPROVED,2026-06-04,Approved; to be applied in SAP by VZI.
APR-000002,REC-000002,Commercial Head,VZIINV01,REJECTED,2026-09-07,Consumption not considered representative.
APR-000003,REC-000003,Commercial Head,VZIINV02,APPROVED,2026-08-06,Approved; to be applied in SAP by VZI.
APR-000004,REC-000004,Inventory Controller,VZIINV02,APPROVED,2026-06-16,Approved; to be applied in SAP by VZI.
APR-000005,REC-000005,Engineering Head,VZIINV01,APPROVED,2026-08-26,Approved; to be applied in SAP by VZI.
APR-000006,REC-000006,Inventory Controller,VZIINV01,APPROVED,2026-09-02,Approved; to be applied in SAP by VZI.
APR-000007,REC-000007,Engineering Head,VZIINV02,APPROVED,2026-08-17,Approved; to be applied in SAP by VZI.
APR-000008,REC-000010,Inventory Controller,VZIINV01,REJECTED,2026-07-16,Consumption not considered representative.
APR-000009,REC-000011,Inventory Controller,VZIINV01,APPROVED,2026-06-01,Approved; to be applied in SAP by VZI.
APR-000010,REC-000013,Inventory Controller,VZIINV02,APPROVED,2026-06-21,Approved; to be applied in SAP by VZI.
APR-000011,REC-000015,Engineering Head,VZIINV02,APPROVED,2026-08-11,Approved; to be applied in SAP by VZI.
APR-000012,REC-000016,Engineering Head,VZIINV02,REJECTED,2026-08-07,Consumption not considered representative.
APR-000013,REC-000017,Engineering Head,VZIINV02,APPROVED,2026-07-15,Approved; to be applied in SAP by VZI.
APR-000014,REC-000018,Inventory Controller,VZIINV01,REJECTED,2026-07-13,Consumption not considered representative.
APR-000015,REC-000019,Plant Head,VZIINV02,APPROVED,2026-08-18,Approved; to be applied in SAP by VZI.
APR-000016,REC-000020,Commercial Head,VZIINV01,REJECTED,2026-08-30,Consumption not considered representative.
APR-000017,REC-000021,Commercial Head,VZIINV01,REJECTED,2026-07-13,Consumption not considered representative.
APR-000018,REC-000022,Plant Head,VZIINV02,APPROVED,2026-05-30,Approved; to be applied in SAP by VZI.
APR-000019,REC-000024,Commercial Head,VZIINV02,APPROVED,2026-08-01,Approved; to be applied in SAP by VZI.
APR-000020,REC-000025,Plant Head,VZIINV02,APPROVED,2026-06-19,Approved; to be applied in SAP by VZI.
APR-000021,REC-000026,Commercial Head,VZIINV02,APPROVED,2026-09-07,Approved; to be applied in SAP by VZI.
APR-000022,REC-000027,Inventory Controller,VZIINV01,REJECTED,2026-07-24,Consumption not considered representative.
